actor,region,n_x,median_vulnerability_score,mean_vulnerability_score,high_vulnerability_share,median_rc,negative_margin_share,flood_risk_label,n_y,mean_flood_probability,median_flood_probability,mean_pressure,hazard_score,flood_logistics_priority_score,priority_label
Retail,Indramayu,16,0.8081790319444621,0.8018305302475748,100.0,0.47293670319838965,100.0,Low Flood Risk,16691,0.4455173446767719,0.45,4.455994533695091,0.33,0.2666990805416725,Moderate Priority
Retail,Tasikmalaya,28,0.8018549105330787,0.8043359611233335,100.0,0.4955836128928828,100.0,Low Flood Risk,16691,0.4455173446767719,0.45,4.455994533695091,0.33,0.264612120475916,Moderate Priority
Retail,Karawang,16,0.7944989058152494,0.7994174029694746,100.0,0.49424232122901046,100.0,Low Flood Risk,16691,0.4455173446767719,0.45,4.455994533695091,0.33,0.2621846389190323,Moderate Priority
Retail,Subang,19,0.7917760543830493,0.7833704398303315,94.73684210526315,0.5769230769230769,94.73684210526315,Low Flood Risk,16691,0.4455173446767719,0.45,4.455994533695091,0.33,0.2612860979464063,Moderate Priority
Retail,Garut,23,0.7638764805121575,0.7312131702604334,91.30434782608695,0.5737704918032787,91.30434782608695,Low Flood Risk,16691,0.4455173446767719,0.45,4.455994533695091,0.33,0.252079238569012,Moderate Priority
Wholesaler,Garut,25,0.7466194314074682,0.6603574680808574,72.0,0.9263157894736842,72.0,Low Flood Risk,16691,0.4455173446767719,0.45,4.455994533695091,0.33,0.24638441236446454,Moderate Priority
Wholesaler,Karawang,14,0.7269720558926281,0.5874048911373606,57.14285714285714,0.9822911796596008,57.14285714285714,Low Flood Risk,16691,0.4455173446767719,0.45,4.455994533695091,0.33,0.2399007784445673,Monitoring Priority
Rice Miller,Karawang,14,0.7220322803777846,0.6651659245118486,71.42857142857143,0.9396008230666616,71.42857142857143,Low Flood Risk,16691,0.4455173446767719,0.45,4.455994533695091,0.33,0.23827065252466892,Monitoring Priority
Middlemen,Tasikmalaya,29,0.7217248439200352,0.6905677764147836,79.3103448275862,0.7715538236726741,79.3103448275862,Low Flood Risk,16691,0.4455173446767719,0.45,4.455994533695091,0.33,0.23816919849361162,Monitoring Priority
Middlemen,Garut,24,0.7059728896751795,0.699413606549601,91.66666666666666,0.7364995830630965,91.66666666666666,Low Flood Risk,16691,0.4455173446767719,0.45,4.455994533695091,0.33,0.23297105359280923,Monitoring Priority
Middlemen,Indramayu,16,0.6738294333363596,0.4684161297583363,56.25,0.9196469087821688,56.25,Low Flood Risk,16691,0.4455173446767719,0.45,4.455994533695091,0.33,0.22236371300099866,Monitoring Priority
Middlemen,Karawang,14,0.6056931317366535,0.5678696431687119,50.0,0.9835763528765786,50.0,Low Flood Risk,16691,0.4455173446767719,0.45,4.455994533695091,0.33,0.19987873347309568,Monitoring Priority
Middlemen,Subang,21,0.4963104672376959,0.49192882387449105,42.857142857142854,1.0841291496134606,42.857142857142854,Low Flood Risk,16691,0.4455173446767719,0.45,4.455994533695091,0.33,0.16378245418843965,Monitoring Priority
Rice Miller,Tasikmalaya,29,0.4395166429635765,0.4755710211038437,27.586206896551722,1.076032065116006,27.586206896551722,Low Flood Risk,16691,0.4455173446767719,0.45,4.455994533695091,0.33,0.14504049217798026,Monitoring Priority
Rice Miller,Indramayu,17,0.4385695174375655,0.4179921479863691,11.76470588235294,1.119116859735619,11.76470588235294,Low Flood Risk,16691,0.4455173446767719,0.45,4.455994533695091,0.33,0.14472794075439663,Monitoring Priority
Rice Miller,Garut,24,0.2905172066996483,0.4414893983768946,41.66666666666667,1.2001199052649405,41.66666666666667,Low Flood Risk,16691,0.4455173446767719,0.45,4.455994533695091,0.33,0.09587067821088395,Monitoring Priority
Wholesaler,Subang,21,0.28379183742195696,0.35017085753781757,14.285714285714285,1.6055718475073313,14.285714285714285,Low Flood Risk,16691,0.4455173446767719,0.45,4.455994533695091,0.33,0.0936513063492458,Monitoring Priority
Wholesaler,Indramayu,16,0.2822816248928448,0.28791373334796305,0.0,1.208977109277308,0.0,Low Flood Risk,16691,0.4455173446767719,0.45,4.455994533695091,0.33,0.09315293621463878,Monitoring Priority
Farmer,Indramayu,62,0.2675257001555904,0.324106401514575,9.67741935483871,1.7726244701492437,8.064516129032258,Low Flood Risk,16691,0.4455173446767719,0.45,4.455994533695091,0.33,0.08828348105134484,Monitoring Priority
Farmer,Subang,77,0.26257026927541205,0.3204802733527138,9.090909090909092,1.9662363455809335,7.792207792207792,Low Flood Risk,16691,0.4455173446767719,0.45,4.455994533695091,0.33,0.08664818886088597,Monitoring Priority
Farmer,Karawang,53,0.25925729675454445,0.31513072727841157,9.433962264150944,2.073170731707317,9.433962264150944,Low Flood Risk,16691,0.4455173446767719,0.45,4.455994533695091,0.33,0.08555490792899967,Monitoring Priority
Farmer,Garut,98,0.25136393682652114,0.3844101670264439,21.428571428571427,2.3967020507106134,20.408163265306122,Low Flood Risk,16691,0.4455173446767719,0.45,4.455994533695091,0.33,0.08295009915275198,Monitoring Priority
Farmer,Tasikmalaya,110,0.2389888923717274,0.2704166199486779,2.727272727272727,2.3788546255506606,1.8181818181818181,Low Flood Risk,16691,0.4455173446767719,0.45,4.455994533695091,0.33,0.07886633448267005,Monitoring Priority
Rice Miller,Subang,21,0.16517928574659238,0.2979406787103806,19.047619047619047,1.3287835840807793,19.047619047619047,Low Flood Risk,16691,0.4455173446767719,0.45,4.455994533695091,0.33,0.054509164296375485,Monitoring Priority
Retail,Indramayu,16,0.8081790319444621,0.8018305302475748,100.0,0.47293670319838965,100.0,Medium Flood Risk,17298,0.49976760319112035,0.5,4.998949231675558,0.665,0.5374390562430673,High Priority
Retail,Tasikmalaya,28,0.8018549105330787,0.8043359611233335,100.0,0.4955836128928828,100.0,Medium Flood Risk,17298,0.49976760319112035,0.5,4.998949231675558,0.665,0.5332335155044974,High Priority
Retail,Karawang,16,0.7944989058152494,0.7994174029694746,100.0,0.49424232122901046,100.0,Medium Flood Risk,17298,0.49976760319112035,0.5,4.998949231675558,0.665,0.5283417723671409,High Priority
Retail,Subang,19,0.7917760543830493,0.7833704398303315,94.73684210526315,0.5769230769230769,94.73684210526315,Medium Flood Risk,17298,0.49976760319112035,0.5,4.998949231675558,0.665,0.5265310761647278,High Priority
Retail,Garut,23,0.7638764805121575,0.7312131702604334,91.30434782608695,0.5737704918032787,91.30434782608695,Medium Flood Risk,17298,0.49976760319112035,0.5,4.998949231675558,0.665,0.5079778595405847,High Priority
Wholesaler,Garut,25,0.7466194314074682,0.6603574680808574,72.0,0.9263157894736842,72.0,Medium Flood Risk,17298,0.49976760319112035,0.5,4.998949231675558,0.665,0.4965019218859664,High Priority
Wholesaler,Karawang,14,0.7269720558926281,0.5874048911373606,57.14285714285714,0.9822911796596008,57.14285714285714,Medium Flood Risk,17298,0.49976760319112035,0.5,4.998949231675558,0.665,0.48343641716859775,High Priority
Rice Miller,Karawang,14,0.7220322803777846,0.6651659245118486,71.42857142857143,0.9396008230666616,71.42857142857143,Medium Flood Risk,17298,0.49976760319112035,0.5,4.998949231675558,0.665,0.48015146645122675,High Priority
Middlemen,Tasikmalaya,29,0.7217248439200352,0.6905677764147836,79.3103448275862,0.7715538236726741,79.3103448275862,Medium Flood Risk,17298,0.49976760319112035,0.5,4.998949231675558,0.665,0.4799470212068234,High Priority
Middlemen,Garut,24,0.7059728896751795,0.699413606549601,91.66666666666666,0.7364995830630965,91.66666666666666,Medium Flood Risk,17298,0.49976760319112035,0.5,4.998949231675558,0.665,0.46947197163399434,High Priority
Middlemen,Indramayu,16,0.6738294333363596,0.4684161297583363,56.25,0.9196469087821688,56.25,Medium Flood Risk,17298,0.49976760319112035,0.5,4.998949231675558,0.665,0.4480965731686791,High Priority
Middlemen,Karawang,14,0.6056931317366535,0.5678696431687119,50.0,0.9835763528765786,50.0,Medium Flood Risk,17298,0.49976760319112035,0.5,4.998949231675558,0.665,0.4027859326048746,Moderate Priority
Middlemen,Subang,21,0.4963104672376959,0.49192882387449105,42.857142857142854,1.0841291496134606,42.857142857142854,Medium Flood Risk,17298,0.49976760319112035,0.5,4.998949231675558,0.665,0.3300464607130678,Moderate Priority
Rice Miller,Tasikmalaya,29,0.4395166429635765,0.4755710211038437,27.586206896551722,1.076032065116006,27.586206896551722,Medium Flood Risk,17298,0.49976760319112035,0.5,4.998949231675558,0.665,0.2922785675707784,Moderate Priority
Rice Miller,Indramayu,17,0.4385695174375655,0.4179921479863691,11.76470588235294,1.119116859735619,11.76470588235294,Medium Flood Risk,17298,0.49976760319112035,0.5,4.998949231675558,0.665,0.29164872909598105,Moderate Priority
Rice Miller,Garut,24,0.2905172066996483,0.4414893983768946,41.66666666666667,1.2001199052649405,41.66666666666667,Medium Flood Risk,17298,0.49976760319112035,0.5,4.998949231675558,0.665,0.19319394245526614,Monitoring Priority
Wholesaler,Subang,21,0.28379183742195696,0.35017085753781757,14.285714285714285,1.6055718475073313,14.285714285714285,Medium Flood Risk,17298,0.49976760319112035,0.5,4.998949231675558,0.665,0.1887215718856014,Monitoring Priority
Wholesaler,Indramayu,16,0.2822816248928448,0.28791373334796305,0.0,1.208977109277308,0.0,Medium Flood Risk,17298,0.49976760319112035,0.5,4.998949231675558,0.665,0.18771728055374182,Monitoring Priority
Farmer,Indramayu,62,0.2675257001555904,0.324106401514575,9.67741935483871,1.7726244701492437,8.064516129032258,Medium Flood Risk,17298,0.49976760319112035,0.5,4.998949231675558,0.665,0.17790459060346764,Monitoring Priority
Farmer,Subang,77,0.26257026927541205,0.3204802733527138,9.090909090909092,1.9662363455809335,7.792207792207792,Medium Flood Risk,17298,0.49976760319112035,0.5,4.998949231675558,0.665,0.17460922906814902,Monitoring Priority
Farmer,Karawang,53,0.25925729675454445,0.31513072727841157,9.433962264150944,2.073170731707317,9.433962264150944,Medium Flood Risk,17298,0.49976760319112035,0.5,4.998949231675558,0.665,0.17240610234177206,Monitoring Priority
Farmer,Garut,98,0.25136393682652114,0.3844101670264439,21.428571428571427,2.3967020507106134,20.408163265306122,Medium Flood Risk,17298,0.49976760319112035,0.5,4.998949231675558,0.665,0.16715701798963656,Monitoring Priority
Farmer,Tasikmalaya,110,0.2389888923717274,0.2704166199486779,2.727272727272727,2.3788546255506606,1.8181818181818181,Medium Flood Risk,17298,0.49976760319112035,0.5,4.998949231675558,0.665,0.15892761342719874,Monitoring Priority
Rice Miller,Subang,21,0.16517928574659238,0.2979406787103806,19.047619047619047,1.3287835840807793,19.047619047619047,Medium Flood Risk,17298,0.49976760319112035,0.5,4.998949231675558,0.665,0.10984422502148394,Monitoring Priority
Retail,Indramayu,16,0.8081790319444621,0.8018305302475748,100.0,0.47293670319838965,100.0,High Flood Risk,16011,0.5559871338454813,0.55,5.559577492854615,1.0,0.8081790319444621,Critical Priority
Retail,Tasikmalaya,28,0.8018549105330787,0.8043359611233335,100.0,0.4955836128928828,100.0,High Flood Risk,16011,0.5559871338454813,0.55,5.559577492854615,1.0,0.8018549105330787,Critical Priority
Retail,Karawang,16,0.7944989058152494,0.7994174029694746,100.0,0.49424232122901046,100.0,High Flood Risk,16011,0.5559871338454813,0.55,5.559577492854615,1.0,0.7944989058152494,Critical Priority
Retail,Subang,19,0.7917760543830493,0.7833704398303315,94.73684210526315,0.5769230769230769,94.73684210526315,High Flood Risk,16011,0.5559871338454813,0.55,5.559577492854615,1.0,0.7917760543830493,Critical Priority
Retail,Garut,23,0.7638764805121575,0.7312131702604334,91.30434782608695,0.5737704918032787,91.30434782608695,High Flood Risk,16011,0.5559871338454813,0.55,5.559577492854615,1.0,0.7638764805121575,Critical Priority
Wholesaler,Garut,25,0.7466194314074682,0.6603574680808574,72.0,0.9263157894736842,72.0,High Flood Risk,16011,0.5559871338454813,0.55,5.559577492854615,1.0,0.7466194314074682,Critical Priority
Wholesaler,Karawang,14,0.7269720558926281,0.5874048911373606,57.14285714285714,0.9822911796596008,57.14285714285714,High Flood Risk,16011,0.5559871338454813,0.55,5.559577492854615,1.0,0.7269720558926281,Critical Priority
Rice Miller,Karawang,14,0.7220322803777846,0.6651659245118486,71.42857142857143,0.9396008230666616,71.42857142857143,High Flood Risk,16011,0.5559871338454813,0.55,5.559577492854615,1.0,0.7220322803777846,Critical Priority
Middlemen,Tasikmalaya,29,0.7217248439200352,0.6905677764147836,79.3103448275862,0.7715538236726741,79.3103448275862,High Flood Risk,16011,0.5559871338454813,0.55,5.559577492854615,1.0,0.7217248439200352,Critical Priority
Middlemen,Garut,24,0.7059728896751795,0.699413606549601,91.66666666666666,0.7364995830630965,91.66666666666666,High Flood Risk,16011,0.5559871338454813,0.55,5.559577492854615,1.0,0.7059728896751795,Critical Priority
Middlemen,Indramayu,16,0.6738294333363596,0.4684161297583363,56.25,0.9196469087821688,56.25,High Flood Risk,16011,0.5559871338454813,0.55,5.559577492854615,1.0,0.6738294333363596,Critical Priority
Middlemen,Karawang,14,0.6056931317366535,0.5678696431687119,50.0,0.9835763528765786,50.0,High Flood Risk,16011,0.5559871338454813,0.55,5.559577492854615,1.0,0.6056931317366535,High Priority
Middlemen,Subang,21,0.4963104672376959,0.49192882387449105,42.857142857142854,1.0841291496134606,42.857142857142854,High Flood Risk,16011,0.5559871338454813,0.55,5.559577492854615,1.0,0.4963104672376959,High Priority
Rice Miller,Tasikmalaya,29,0.4395166429635765,0.4755710211038437,27.586206896551722,1.076032065116006,27.586206896551722,High Flood Risk,16011,0.5559871338454813,0.55,5.559577492854615,1.0,0.4395166429635765,High Priority
Rice Miller,Indramayu,17,0.4385695174375655,0.4179921479863691,11.76470588235294,1.119116859735619,11.76470588235294,High Flood Risk,16011,0.5559871338454813,0.55,5.559577492854615,1.0,0.4385695174375655,High Priority
Rice Miller,Garut,24,0.2905172066996483,0.4414893983768946,41.66666666666667,1.2001199052649405,41.66666666666667,High Flood Risk,16011,0.5559871338454813,0.55,5.559577492854615,1.0,0.2905172066996483,Moderate Priority
Wholesaler,Subang,21,0.28379183742195696,0.35017085753781757,14.285714285714285,1.6055718475073313,14.285714285714285,High Flood Risk,16011,0.5559871338454813,0.55,5.559577492854615,1.0,0.28379183742195696,Moderate Priority
Wholesaler,Indramayu,16,0.2822816248928448,0.28791373334796305,0.0,1.208977109277308,0.0,High Flood Risk,16011,0.5559871338454813,0.55,5.559577492854615,1.0,0.2822816248928448,Moderate Priority
Farmer,Indramayu,62,0.2675257001555904,0.324106401514575,9.67741935483871,1.7726244701492437,8.064516129032258,High Flood Risk,16011,0.5559871338454813,0.55,5.559577492854615,1.0,0.2675257001555904,Moderate Priority
Farmer,Subang,77,0.26257026927541205,0.3204802733527138,9.090909090909092,1.9662363455809335,7.792207792207792,High Flood Risk,16011,0.5559871338454813,0.55,5.559577492854615,1.0,0.26257026927541205,Moderate Priority
Farmer,Karawang,53,0.25925729675454445,0.31513072727841157,9.433962264150944,2.073170731707317,9.433962264150944,High Flood Risk,16011,0.5559871338454813,0.55,5.559577492854615,1.0,0.25925729675454445,Moderate Priority
Farmer,Garut,98,0.25136393682652114,0.3844101670264439,21.428571428571427,2.3967020507106134,20.408163265306122,High Flood Risk,16011,0.5559871338454813,0.55,5.559577492854615,1.0,0.25136393682652114,Moderate Priority
Farmer,Tasikmalaya,110,0.2389888923717274,0.2704166199486779,2.727272727272727,2.3788546255506606,1.8181818181818181,High Flood Risk,16011,0.5559871338454813,0.55,5.559577492854615,1.0,0.2389888923717274,Monitoring Priority
Rice Miller,Subang,21,0.16517928574659238,0.2979406787103806,19.047619047619047,1.3287835840807793,19.047619047619047,High Flood Risk,16011,0.5559871338454813,0.55,5.559577492854615,1.0,0.16517928574659238,Monitoring Priority
